1 5 0 1
2 5 8 1
3 5 8 12
4 5 0 12
5 5.5 0 1
6 5.5 8 1
7 5.5 8 12
8 5.5 0 12
9 5.5 1 7
10 5.5 1.5 7
11 5.5 1.5 11
12 5.5 1 11
13 6 1 7
14 6 1.5 7
15 6 1.5 11
16 6 1 11
17 5 0 12.5
18 5 8 12.5
19 5 8 16.7
20 5 0 16.7
21 5.5 0 12.5
22 5.5 8 12.5
23 5.5 8 16.7
24 5.5 0 16.7
25 5.5 1 13
26 5.5 1.5 13
27 5.5 1.5 16
28 5.5 1 16
29 6 1 13
30 6 1.5 13
31 6 1.5 16
32 6 1 16
139 5 8 16.7
140 5 8 1

33 0 0 1
34 0 8 1
35 0 8 1.5
36 0 0 1.5
37 5 0 1
38 5 8 1
39 5 8 1.5
40 5 0 1.5
41 0 0 1
42 0 8 1
43 0 8 16.7
44 0 0 16.7
45 5 0 1
46 5 8 1
47 5 8 16.7
48 5 0 16.7
49 0.05 0.05 1.5
50 0.05 4 1.5
51 0.05 4 4.5
52 0.05 0.05 4.5
53 4.5 0.05 1.5
54 4.5 4 1.5
55 4.5 4 4.5
56 4.5 0.05 4.5
57 0.05 4.05 1.5
58 0.05 7.95 1.5
59 0.05 7.95 4.5
60 0.05 4.05 4.5
61 4.5 4.05 1.5
62 4.5 7.95 1.5
63 4.5 7.95 4.5
64 4.5 4.05 4.5
65 4.5 1 3
66 4.5 3 3
67 4.5 3 3.5
68 4.5 1 3.5
69 5 1 3
70 5 3 3 
71 5 3 3.5
72 5 1 3.5
73 4.5 5 3
74 4.5 7 3
75 4.5 7 3.5
76 4.5 5 3.5
77 5 5 3
78 5 7 3 
79 5 7 3.5
80 5 5 3.5
81 0.05 0.05 6.5
82 0.05 7.95 6.5
83 0.05 7.95 9
84 0.05 0.05 9
85 4.5 0.05 6.5
86 4.5 7.95 6.5
87 4.5 7.95 9
88 4.5 0.05 9
89 0.05 0.05 11.5
90 0.05 7.95 11.5
91 0.05 7.95 12.5
92 0.05 0.05 12.5
93 5 0.05 11.5
94 5 7.95 11.5
95 5 7.95 12.5
96 5 0.05 12.5
97 4.5 0.05 14.5
98 0.05 0.05 14.5
99 0.05 7.95 14.5
100 4.5 7.95 14.5
Faces:
5 6 7 8.
6 2 3 7.
2 1 4 3.
1 5 8 4.
8 7 3 4.
5 1 2 6.
13 14 15 16.
14 10 11 15.
10 9 12 11.
9 13 16 12.
16 15 11 12.
13 9 10 14.
21 22 23 24.
22 18 19 23.
18 17 20 19.
17 21 24 20.
24 23 19 20.
21 17 18 22.
29 30 31 32.
30 26 27 31.
26 25 28 27.
25 29 32 28.
32 31 27 28.
29 25 26 30.
37 38 39 40.
38 34 35 39.
34 33 36 35.
33 37 40 36.
40 39 35 36.
37 33 34 38.

46 42 43 47.
47 43 42 46.
42 41 44 43.
43 44 41 42.

41 45 48 44.
44 48 45 41.
48 47 43 44.
44 43 47 48.

45 41 42 46.
46 42 41 45.
53 54 55 56.
56 55 54 53.

54 50 51 55.
55 51 50 54.
50 49 52 51.
51 52 49 50.

49 53 56 52.
52 56 53 49.
53 49 50 54.
54 50 49 53.

61 62 63 64.
62 58 59 63.
63 59 58 62.
58 57 60 59.
59 60 57 58.

57 61 64 60.

61 57 58 62.

69 70 71 72.
72 71 70 69.
70 66 67 71.
71 67 66 70.

65 69 72 68.
68 72 69 65.
77 78 79 80.
80 79 78 77.

78 74 75 79.
79 75 74 78.
73 77 80 76.
76 80 77 73.

88 87 83 84.
84 83 87 88.
85 81 82 86.
86 82 81 85.

93 94 95 96.
94 90 91 95.
90 89 92 91.
89 93 96 92.
96 95 91 92.
93 89 90 94.
100 99 98 97.
97 98 99 100.

